,Name,Locality,Postalcode,Address,Region,Country,Neighborhood,Phone,Website,Category Labels
0,,,,,,,,,,
0,Antiquité Baldaquin,Auriol,13390,chemin de l'Horloge,Bouches-du-Rhône,fr,,06 09 86 33 44,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Brocante de Pont de l'Etoile,Aubagne,13400,quart Bonherbe Pont l'Etoile route Nationale 396,Bouches-du-Rhône,fr,,04 42 04 08 36,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Mogador,Aubagne,13400,10 avenue Elzeard Rougier,Bouches-du-Rhône,fr,,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Fournier Yolande,Lambesc,13410,route Nationale 7,Bouches-du-Rhône,fr,,04 42 92 74 24,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Indigo,Martigues,13500,8 Bis rue Marcel Galdy,Bouches-du-Rhône,fr,,04 42 49 20 55,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie du Musée,Les Baux De Provence,13520,rue Eglise À Ancienne Mairie,Bouches-du-Rhône,fr,,04 90 54 49 42,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Laugier Yves,Maussane les Alpilles,13520,2 rue Fleurs,Bouches-du-Rhône,fr,,04 88 18 33 78,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Galerie Art Africain d'Afrique Noire,Trets,13530,362 route de Saint-Zacharie,Bouches-du-Rhône,fr,,06 77 71 53 13,http://www.art-africain.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Antiquaires de Lignane,Aix en Provence,13540,6110 route d'Avignon,Bouches-du-Rhône,fr,,04 42 92 38 28,http://www.curiositel.com/aix_en_provence/antiquaires_lignane.htm,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Les Lauves,Aix en Provence,13540,chemin des Lauves,Bouches-du-Rhône,fr,,04 42 63 25 95,,"[[u'Landmarks'], [u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,D.S. Antiquités,Aix en Provence,13540,5675 route nationale 7 Puyricard,Bouches-du-Rhône,fr,,04 42 28 30 91,http://www.dsantiquites.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,La Boutique,Aix en Provence,13540,6110 route Avignon,Bouches-du-Rhône,fr,,04 42 92 57 57,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Abacule Antiquites-Antic Deco Galerie,Aix en Provence,13540,4655 route d'Avignon,Bouches-du-Rhône,fr,,04 42 21 99 96,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Mellet François,Meyreuil,13590,chemin des Bastidons,Bouches-du-Rhône,fr,,06 61 89 46 80,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Sassatelli Armand,Meyreuil,13590,chemin des bastidons,Bouches-du-Rhône,fr,,04 42 51 23 18,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Michel Robert,La Ciotat,13600,7 avenue Georges Wilson,Bouches-du-Rhône,fr,,06 81 71 77 12,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Condomines Anne Marie,,13640,26 avenue de Sylvacane,Bouches-du-Rhône,fr,,09 71 52 36 50,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
