,Name,Locality,Postalcode,Address,Region,Country,Neighborhood,Phone,Email,Website,Category Labels
0,,,,,,,,,,,
0,Verve Fine Arts,Alexander City,35010,88 Fourwinds,AL,us,,(256) 234-9036,,http://vervefinearts.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Uhlich Steadman Fine Arts,Birmingham,35209,2817 18th St S,AL,us,"[u'Southside', u'Cullom Place', u'Rosedale']",(205) 871-2699,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Carole Foret Fine Art,Athens,35611,206 W Market St,AL,us,[u'Lakewood'],(256) 232-2521,foretc@caroleforet.com,http://www.caroleforet.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Cassetta Gallery Fine Art & Framery,Tuscumbia,35674,200 S Main St,AL,us,[u'Trenholm Heights'],(256) 386-5252,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Carole Foret Fine Art,Huntsville,35801,301 Holmes Ave NE,AL,us,"[u'Canterbury', u'Old Town']",(256) 232-2521,,http://www.caroleforet.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Studio 100 Fine Art Gallery,Huntsville,35801,117 Northside Sq,AL,us,"[u'Canterbury', u'English Terrace', u'Downtown']",(256) 539-5845,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Stonehenge Gallery,Montgomery,36106,1041 E Fairview Ave,AL,us,"[u'Cloverdale', u'South Montgomery City']",(334) 262-8256,stonehenge@sify.com,http://www.stonehengegallery.com/Home.html,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Tino's Fine Art & Frames,Gulf Shores,36542,2200 E 2nd St,AL,us,,(251) 971-8466,,http://tinosfineart.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Affordable Fine Arts,Mobile,36604,354 Regina Ave,AL,us,[u'Washington Square'],(251) 690-9020,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Milton Lenoir Fine Art GLLRY,Smiths Station,36877,7058 Lee Road 246,AL,us,,(334) 298-1647,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Aurora Fine Art Gallery,Anchorage,99501,406 G St,AK,us,[u'Downtown'],(907) 274-0235,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Obeidi's Fine Art Gallery,Anchorage,99503,3502 Arctic Blvd,AK,us,[u'Spenard'],(907) 562-6666,mousaobeidi@artandframesobeidis.com,http://www.obeidifineart.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Alaska Art & Frame,Anchorage,99503,3502 Arctic Blvd,AK,us,"[u'Midtown', u'Spenard']",(907) 561-5163,,http://www.obeidifineart.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
