,Name,Locality,Postalcode,Address,Region,Country,Neighborhood,Phone,Email,Website,Category Labels
0,,,,,,,,,,,
0,Carolina Artist's Studio Gallery,Morehead City,28557,801 Arendell St,NC,us,,(252) 726-7550,carolinaartistgallery@gmail.com,http://www.carolinaartistgallery.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Arendell Gallery,Morehead City,28557,1103 Arendell St,NC,us,[u'Sunrise Point'],(252) 648-8883,galleryarendell@gmail.com,http://www.galleryarendell.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,"BluSail Gallery, Artists' School & Pottery Studio",Morehead City,28557,903 Arendell St,NC,us,,(252) 723-9516,,http://www.blu-sail.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Silver Stream Photography,Morehead City,28557,1013 Arendell St,NC,us,[u'Sunrise Point'],(252) 772-5561,silverstreamphotography@gmail.com,http://www.silverstreamphotography.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Carteret Contemporary Art,Morehead City,28557,1106 Arendell St,NC,us,[u'Sunrise Point'],(252) 726-4071,,http://www.twogalleries.net,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Arts Council Of Carteret County,Morehead City,28557,812 Evans St,NC,us,[u'Sunrise Point'],(252) 726-9156,,http://artscouncilcarteret.org,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Occhio Limited,Morehead City,28557,413 Evans St,NC,us,,(252) 222-3355,,http://www.occhioinc.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Carteret County Arts And Crafts Coalition,Morehead City,28557,102 S 9th St,NC,us,,(252) 247-6366,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Art Escapes & Frames,Morehead City,28557,2900 Arendell St,NC,us,,(252) 247-5111,art.escape.mhc@gmail.com,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Beneath The Palms,Morehead City,28557,1 W Ridge Ctr,NC,us,,(252) 726-2111,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Craven Arts Council & Gallery,New Bern,28560,317 Middle St,NC,us,[u'Craven Terrace'],(252) 638-2577,cravenarts@cravenarts.org,http://www.cravenarts.org,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Framing Fox Art Gallery,New Bern,28560,217 Middle St,NC,us,[u'Craven Terrace'],(252) 635-6400,framingfox@me.com,http://www.framingfox.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Robert's Art Gallery & Studio,New Bern,28560,1619 Old Cherry Point Rd,NC,us,,(252) 637-2222,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Accidental Artist,New Bern,28560,220 Craven St,NC,us,[u'Craven Terrace'],(252) 634-3411,info@theaccidentalartistnc.com,http://www.theaccidentalartistnc.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,New Bern Artworks,New Bern,28560,323 Pollock St,NC,us,[u'Craven Terrace'],(252) 634-9002,martha@newbernartworks.com,http://www.newbernartworks.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Frame Shop & Gallery,New Bern,28562,1903 S Glenburnie Rd,NC,us,,(252) 637-2624,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Tidewater Gallery,Swansboro,28584,202 W Main St,NC,us,,(910) 325-0660,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Inkstone Gallery,Winterville,28590,180 Depot St,NC,us,[u'Robinson Heights'],(252) 321-7173,,http://www.inkstonegallery.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Stine's Gallery,Hickory,28601,1923 36th Ave NE,NC,us,,(828) 326-8772,artnasca@netzero.com,http://www.stinesgallery.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Stine's Framing & Art Gallery,Hickory,28601,4180 Section House Rd,NC,us,,(828) 256-1211,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Full Circle Arts,Hickory,28601,266 1st Ave NW,NC,us,,(828) 322-7545,,http://fullcirclearts.org/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Turnit The Arts,Hickory,28601,266 1st Ave NW,NC,us,,(828) 441-2014,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Artful Living,Hickory,28601,509 7th St NW,NC,us,,(828) 328-9500,info@artfullivinggallery.com,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Jacob Fork Gallery & Garden,Hickory,28602,4912 S Nc 127 Hwy,NC,us,,(704) 462-1877,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Carlton Gallery At Creekside,Banner Elk,28604,140 Aldridge Rd,NC,us,,(828) 963-4288,,http://www.carltonartgallery.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,The Corner Gallery,Banner Elk,28604,82 High Country Sq,NC,us,,(828) 898-4978,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Avery Arts Council,Banner Elk,28604,630 Shawneehaw Ave,NC,us,,(828) 898-4292,,http://averycountyartscouncil.org/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Mill Pond Arts & Antiques,Banner Elk,28604,920 Shawneehaw Ave,NC,us,,(828) 898-5175,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Morning Star Gallery,Blowing Rock,28605,1151 Main St,NC,us,,(828) 295-6991,maggie@morningstargallery.com,http://morningstargalleryusa.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Rock Galleries of Fine Art,Blowing Rock,28605,1153 Main St,NC,us,,(828) 295-9752,info@thomaskinkadeasheville.com,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Morning Star Gallery,Blowing Rock,28605,257 Sunset Dr,NC,us,,(828) 295-6991,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Glen Scott Gallery,Blowing Rock,28605,3451 US Highway 321 S,NC,us,[u'Sorrento Skies'],(828) 414-9232,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,T Pennington Art Gallery,Blowing Rock,28605,1179 Main St,NC,us,,(828) 295-4334,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Elliot Coatney Fine Art,Blowing Rock,28605,6366 US Highway 321 S,NC,us,[u'Sorrento Skies'],(828) 295-6544,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Wildwoods Gallery,Boone,28607,1345 Poplar Grove Rd S,NC,us,,(828) 963-8190,,http://www.mountainconstruction.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Watauga County Arts Council,Boone,28607,604 W King St,NC,us,[u'Dougherty Heights'],(828) 264-1789,,http://www.watauga-arts.org,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Office Of Cultural Affair,Boone,28607,423 W King St,NC,us,[u'Dougherty Heights'],(828) 262-6084,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Watauga County Arts Council,Boone,28607,783 W King St,NC,us,,(828) 386-1223,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Purveyors Of Art & Design,Boone,28607,499 W King St,NC,us,[u'Dougherty Heights'],(828) 265-0209,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Watauga Arts Council,Boone,28607,130 Poplar Smt,NC,us,,(828) 264-1789,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Brent's Auto Graphics,Conover,28613,4526 County Home Rd,NC,us,,(828) 256-6447,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
