,Name,Locality,Postalcode,Address,Region,Country,Neighborhood,Phone,Email,Website,Category Labels
0,,,,,,,,,,,
0,Cottage Gallery,Alexander City,35010,141 Franklin St,AL,us,,(256) 392-3933,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Cup O' Art,Alexander City,35010,363 Scott Rd,AL,us,,(888) 815-3833,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Verve Fine Arts,Alexander City,35010,88 Fourwinds,AL,us,,(256) 234-9036,,http://vervefinearts.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Gallery,Arab,35016,45 N Main St,AL,us,[u'Sunset Acres'],(256) 586-6255,,,"[[u'Social', u'Arts', u'Museums']]"
0,Angels In The SKY Number Two,Bessemer,35020,5702 5th St S,AL,us,,(205) 434-4855,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Gallery 64,Bessemer,35023,2632 19th St N,AL,us,,(205) 436-8570,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,The Water Course,Clanton,35045,2030 7th St S,AL,us,,(205) 280-4442,,http://www.alabamapower.com/watercourse/home.asp,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Buckelew Gallery,Hanceville,35077,3831 U S Highway 31,AL,us,[u'Carrol Acres'],(256) 352-5889,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Kent's Gallery,Helena,35080,4040 Helena Rd,AL,us,,(205) 620-2787,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Leeds Arts Council,Leeds,35094,8140 Parkway Dr,AL,us,,(205) 699-1892,leedschamber@windstream.net,http://www.leedsartscouncil.org/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Cahaba Clayworks,Leeds,35094,7575 Parkway Dr,AL,us,,(205) 702-4180,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Inkheart Tattoo Studio & Art,Leeds,35094,1601 9th St,AL,us,,(205) 699-8006,,,"[[u'Businesses and Services', u'Personal Care', u'Tattooing']]"
0,Blue Phrog Gallery,Montevallo,35115,955 Main St,AL,us,,(205) 665-3766,bluephroggallery@att.net,http://bluephroggallery.com,"[[u'Retail', u'Arts and Crafts']]"
0,International Art Gallery,Montevallo,35115,623 Main St,AL,us,,(205) 665-0565,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Stranded Art Cooperative,Montevallo,35115,620A Main St,AL,us,,(205) 601-6166,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Lynda's Frame Shoppe & Gallery,Morris,35116,556 Morris Majestic Rd,AL,us,,(205) 590-7201,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Fran Baggett Kids N Training,Mulga,35118,2030 Parsons Loop Rd,AL,us,,(866) 906-8705,,http://www.kidsntraining.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Carriage House Arts & Frames,Odenville,35120,445 Coupland Rd,AL,us,,(205) 520-6512,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Neely Arts Center,Oneonta,35121,306 1st Ave E,AL,us,,(205) 274-7529,,http://www.neelyartscenter.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Ann Beaird Studios,Oneonta,35121,213 1st Ave E,AL,us,,(205) 274-2225,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Griffith Art Gallery,Pelham,35124,109 Hilltop Business Dr,AL,us,,(205) 985-7969,griffithgallery@bellsouth.net,http://griffithartgallery.com,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Wendy Lo Voy Galleries,Pelham,35124,142 Corporate Way,AL,us,,(205) 620-2956,,,"[[u'Community and Government', u'Education', u'Art Lessons and Schools']]"
0,New Orleans Slate Design,Pelham,35124,319 Calloway Ter,AL,us,,(334) 477-6821,jeanniebrown289@gmail.com,http://www.neworleansslatedesign.com/,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Uptown Art Uncorked,Pelham,35124,381 Huntley Pkwy,AL,us,,(205) 620-0854,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Council The Arts St Clair Cty,Pell City,35125,1917 Cogswell Ave,AL,us,[u'Woodmont'],(205) 884-2787,,http://councilofthearts.org,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Art Scape,Pell City,35125,1917 Cogswell Ave,AL,us,[u'Woodmont'],(205) 884-2787,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Action Shots,Pinson,35126,5390 Balboa Ave,AL,us,,(205) 317-0932,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Trailwalker Crafts,Springville,35146,190 Jones Village Rd,AL,us,,(205) 467-2408,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Lmo & Company,Talladega,35160,121 Court Sq N,AL,us,[u'Moorefield'],(256) 362-6200,lmoandcompany@gmail.com,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
0,Peace A Work,Talladega,35160,50 Eastaboga Rd,AL,us,,(256) 362-5373,,,"[[u'Social', u'Arts', u'Art Dealers and Galleries']]"
